Date,Max_Temp,Min_Temp,Avg_Temp,Dept_Temp,HDD,CDD,Precipitation,New Snow,Snow Depth,https://w2.weather.gov/climate/xmacis.php?wfo=rah
11/30/2019,47,23,35,-3.9,30,0,T,0,0,
11/29/2019,45,25,35,-4,30,0,0,0,0,
11/28/2019,61,38,49.5,10.4,15,0,0.18,0,0,
11/27/2019,57,39,48,8.8,17,0,0,0,0,
11/26/2019,68,47,57.5,18.2,7,0,T,0,0,
11/25/2019,56,48,52,12.6,13,0,T,0,0,
11/24/2019,55,45,50,10.5,15,0,T,0,0,
11/23/2019,53,42,47.5,7.9,17,0,0.08,0,0,
11/22/2019,50,32,41,1.2,24,0,0,0,0,
11/21/2019,65,38,51.5,11.6,13,0,0,0,0,
11/20/2019,58,26,42,1.9,23,0,0,0,0,
11/19/2019,43,27,35,-5.2,30,0,0,0,0,
11/18/2019,42,34,38,-2.4,27,0,T,0,0,
11/17/2019,72,42,57,16.4,8,0,0.23,0,0,
11/16/2019,52,25,38.5,-2.3,26,0,T,0,0,
11/15/2019,29,18,23.5,-17.5,41,0,T,0,0,
11/14/2019,38,21,29.5,-11.7,35,0,0,0,0,
11/13/2019,49,36,42.5,1.1,22,0,0,0,0,
11/12/2019,53,40,46.5,4.8,18,0,T,0,0,
11/11/2019,58,36,47,5.1,18,0,0.02,0,0,
11/10/2019,44,22,33,-9.1,32,0,0.02,0,0,
11/09/2019,42,20,31,-11.4,34,0,0,0,0,
11/08/2019,41,23,32,-10.7,33,0,0,0,0,
11/07/2019,49,32,40.5,-2.4,24,0,0,0,0,
11/06/2019,58,34,46,2.8,19,0,0,0,0,
11/05/2019,48,37,42.5,-1,22,0,0.7,0,0,
11/04/2019,59,40,49.5,5.7,15,0,0.1,0,0,
11/03/2019,42,39,40.5,-3.6,24,0,0.37,0,0,
11/02/2019,50,36,43,-1.4,22,0,0,0,0,
11/01/2019,56,35,45.5,0.8,19,0,0,0,0,
10/31/2019,64,41,52.5,7.5,12,0,T,0,0,
10/30/2019,74,62,68,22.6,0,3,0.65,0,0,
10/29/2019,67,56,61.5,15.8,3,0,0.3,0,0,
10/28/2019,56,34,45,-1,20,0,0,0,0,
10/27/2019,54,29,41.5,-4.9,23,0,0,0,0,
10/26/2019,56,35,45.5,-1.2,19,0,0,0,0,
10/25/2019,73,46,59.5,12.5,5,0,0,0,0,
10/24/2019,69,47,58,10.6,7,0,0.06,0,0,
10/23/2019,59,29,44,-3.7,21,0,0,0,0,
10/22/2019,58,26,42,-6.1,23,0,0,0,0,
10/21/2019,56,28,42,-6.4,23,0,0,0,0,
10/20/2019,51,35,43,-5.7,22,0,0,0,0,
10/19/2019,71,41,56,6.9,9,0,T,0,0,
10/18/2019,79,41,60,10.6,5,0,0,0,0,
10/17/2019,71,39,55,5.2,10,0,0,0,0,
10/16/2019,68,36,52,1.9,13,0,0,0,0,
10/15/2019,64,33,48.5,-1.9,16,0,0,0,0,
10/14/2019,62,41,51.5,0.7,13,0,T,0,0,
10/13/2019,63,28,45.5,-5.6,19,0,0,0,0,
10/12/2019,55,33,44,-7.4,21,0,0,0,0,
10/11/2019,71,37,54,2.2,11,0,0,0,0,
10/10/2019,66,38,52,-0.1,13,0,0,0,0,
10/09/2019,65,41,53,0.6,12,0,0.01,0,0,
10/08/2019,68,38,53,0.3,12,0,0,0,0,
10/07/2019,66,41,53.5,0.5,11,0,0,0,0,
10/06/2019,71,39,55,1.7,10,0,0,0,0,
10/05/2019,67,40,53.5,-0.1,11,0,0,0,0,
10/04/2019,70,51,60.5,6.6,4,0,0,0,0,
10/03/2019,82,55,68.5,14.3,0,4,T,0,0,
10/02/2019,82,57,69.5,15,0,5,0,0,0,
10/01/2019,64,56,60,5.2,5,0,0,0,0,
09/30/2019,73,55,64,8.9,1,0,0,0,0,
09/29/2019,84,54,69,13.6,0,4,0,0,0,
09/28/2019,79,48,63.5,7.8,1,0,0,0,0,
09/27/2019,76,53,64.5,8.5,0,0,0,0,0,
09/26/2019,73,48,60.5,4.2,4,0,T,0,0,
09/25/2019,67,41,54,-2.5,11,0,0,0,0,
09/24/2019,67,45,56,-0.8,9,0,0,0,0,
09/23/2019,80,48,64,6.9,1,0,0,0,0,
09/22/2019,70,38,54,-3.4,11,0,0,0,0,
09/21/2019,60,41,50.5,-7.2,14,0,0,0,0,
09/20/2019,72,53,62.5,4.5,2,0,0,0,0,
09/19/2019,84,61,72.5,14.3,0,8,0,0,0,
09/18/2019,88,61,74.5,16,0,10,0,0,0,
09/17/2019,83,59,71,12.2,0,6,0,0,0,
09/16/2019,82,58,70,10.9,0,5,0,0,0,
09/15/2019,78,56,67,7.6,0,2,0,0,0,
09/14/2019,73,53,63,3.3,2,0,0,0,0,
09/13/2019,68,53,60.5,0.5,4,0,0,0,0,
09/12/2019,79,47,63,2.7,2,0,0,0,0,
09/11/2019,71,45,58,-2.6,7,0,0,0,0,
09/10/2019,67,43,55,-6,10,0,0,0,0,
09/09/2019,69,47,58,-3.3,7,0,0,0,0,
09/08/2019,72,51,61.5,-0.1,3,0,0,0,0,
09/07/2019,69,61,65,3,0,0,3.2,0,0,
09/06/2019,70,62,66,3.7,0,1,0.69,0,0,
09/05/2019,75,60,67.5,4.9,0,3,0.02,0,0,
09/04/2019,69,60,64.5,1.5,0,0,0,0,0,
09/03/2019,77,59,68,4.7,0,3,0,0,0,
09/02/2019,79,60,69.5,5.8,0,5,0,0,0,
09/01/2019,80,55,67.5,3.4,0,3,0,0,0,
08/31/2019,80,61,70.5,6.1,0,6,0,0,0,
08/30/2019,84,62,73,8.2,0,8,T,0,0,
08/29/2019,80,63,71.5,6.3,0,7,T,0,0,
08/28/2019,82,66,74,8.4,0,9,0.91,0,0,
08/27/2019,81,66,73.5,7.6,0,9,0.04,0,0,
08/26/2019,65,28,46.5,6.6,18,0,0,0,0,
08/25/2019,44,28,36,-3.8,29,0,0,0,0,
08/24/2019,51,27,39,-0.6,26,0,0,0,0,
08/23/2019,50,26,38,-1.5,27,0,0,0,0,
08/22/2019,48,30,39,-0.4,26,0,0,0,0,
08/21/2019,64,36,50,10.7,15,0,0.01,0,0,
08/20/2019,69,34,51.5,12.3,13,0,0,0,0,
08/19/2019,59,39,49,9.9,16,0,0.01,0,0,
08/18/2019,55,42,48.5,9.4,16,0,0.89,0,0,
08/17/2019,54,51,52.5,13.5,12,0,0.52,0,0,
08/16/2019,55,51,53,14.1,12,0,1.09,0,0,
08/15/2019,55,47,51,12.1,14,0,0.34,0,0,
08/14/2019,62,36,49,10.2,16,0,0,0,0,
08/13/2019,67,43,55,16.3,10,0,T,0,0,
08/12/2019,59,46,52.5,13.8,12,0,0.08,0,0,
08/11/2019,54,45,49.5,10.8,15,0,0,0,0,
08/10/2019,60,43,51.5,12.9,13,0,0.03,0,0,
08/09/2019,57,41,49,10.4,16,0,T,0,0,
08/08/2019,74,52,63,24.4,2,0,0,0,0,
08/07/2019,69,43,56,17.4,9,0,0,0,0,
08/06/2019,51,36,43.5,5,21,0,0,0,3,
08/05/2019,43,21,32,-6.5,33,0,0,0,4,
08/04/2019,26,6,16,-22.5,49,0,0,0,5,
08/03/2019,26,9,17.5,-21.1,47,0,0,0,6,
08/02/2019,28,16,22,-16.6,43,0,0.54,6,5,
08/01/2019,39,26,32.5,-6.1,32,0,0.16,2,0,
07/31/2019,39,28,33.5,-5.1,31,0,0,0,0,
07/30/2019,57,36,46.5,7.8,18,0,0,0,0,
07/29/2019,52,42,47,8.3,18,0,0.48,0,0,
07/28/2019,48,44,46,7.2,19,0,0.81,0,0,
07/27/2019,49,40,44.5,5.7,20,0,0.16,0,0,
07/26/2019,72,43,57.5,12,7,0,T,0,0,
07/25/2019,61,34,47.5,2.3,17,0,0,0,0,
07/24/2019,54,33,43.5,-1.5,21,0,0,0,0,
07/23/2019,76,43,59.5,14.8,5,0,0.04,0,0,
07/22/2019,76,49,62.5,18,2,0,0,0,0,
07/21/2019,74,48,61,16.8,4,0,0,0,0,
07/20/2019,60,50,55,11,10,0,0.11,0,0,
07/19/2019,63,47,55,11.3,10,0,0,0,0,
07/18/2019,72,39,55.5,12,9,0,0,0,0,
07/17/2019,71,42,56.5,13.2,8,0,0,0,0,
07/16/2019,71,34,52.5,9.5,12,0,T,0,0,
07/15/2019,66,38,52,9.2,13,0,0,0,0,
07/14/2019,52,29,40.5,-2.1,24,0,0,0,0,
07/13/2019,56,37,46.5,4.1,18,0,0.17,0,0,
07/12/2019,59,30,44.5,2.3,20,0,0,0,0,
07/11/2019,59,39,49,7,16,0,0,0,0,
07/10/2019,81,57,69,27.2,0,4,T,0,0,
07/09/2019,73,42,57.5,15.9,7,0,0,0,0,
07/08/2019,47,25,36,-5.4,29,0,0,0,0,
07/07/2019,58,29,43.5,2.3,21,0,0.04,0,0,
07/06/2019,71,48,59.5,18.4,5,0,0.1,0,0,
07/05/2019,73,51,62,21.1,3,0,T,0,0,
07/04/2019,67,31,49,8.3,16,0,0,0,0,
07/03/2019,57,27,42,1.4,23,0,0.02,T,0,
07/02/2019,42,20,31,-9.4,34,0,0,0,0,
07/01/2019,47,30,38.5,-1.8,26,0,0.01,0,0,
06/30/2019,61,39,50,9.9,15,0,0,0,0,
06/29/2019,68,37,52.5,12.5,12,0,0,0,0,
06/28/2019,75,52,63.5,9.1,1,0,0.43,0,0,
06/27/2019,63,55,59,4.9,6,0,T,0,0,
06/26/2019,75,54,64.5,10.7,0,0,0,0,0,
06/25/2019,77,58,67.5,14,0,3,0.45,0,0,
06/24/2019,76,58,67,13.8,0,2,0.1,0,0,
06/23/2019,72,53,62.5,9.6,2,0,0.03,0,0,
06/22/2019,73,52,62.5,9.9,2,0,0,0,0,
06/21/2019,68,37,52.5,0.2,12,0,0,0,0,
06/20/2019,55,31,43,-9,22,0,0,0,0,
06/19/2019,62,39,50.5,-1.2,14,0,T,0,0,
06/18/2019,81,53,67,15.6,0,2,T,0,0,
06/17/2019,65,32,48.5,-2.6,16,0,0,0,0,
06/16/2019,58,34,46,-4.8,19,0,0,0,0,
06/15/2019,70,44,57,6.4,8,0,0.18,0,0,
06/14/2019,54,22,38,-12.3,27,0,0.01,0,0,
06/13/2019,48,20,34,-16,31,0,0,0,0,
06/12/2019,38,21,29.5,-20.2,35,0,0,0,0,
06/11/2019,50,26,38,-11.4,27,0,0.18,0,0,
06/10/2019,45,27,36,-13.1,29,0,0.34,0,0,
06/09/2019,51,30,40.5,-8.3,24,0,T,T,0,
06/08/2019,49,33,41,-7.5,24,0,0,0,0,
06/07/2019,64,39,51.5,3.3,13,0,0.02,0,0,
06/06/2019,73,39,56,8.1,9,0,0,0,0,
06/05/2019,70,50,60,12.3,5,0,T,0,0,
06/04/2019,72,47,59.5,12.1,5,0,0.01,0,0,
06/03/2019,62,32,47,-0.1,18,0,0,0,0,
